Tahun;Judul Kegiatan;Klasifikasi;Definitif;DIPA Awal;Revisi 1;Revisi 2;Revisi 3;Revisi 4;Revisi 5;Revisi Akhir;Output Tahunan;Output Akhir;Realisasi Anggaran;Sisa Anggaran
2021;Diseminasi Inovasi Teknologi Perbibitan Ternak Domba;RDHP;-;-;1330300000;1330300000;-;-;-;-;-;-;-;-
2021;Diseminasi Inovasi Teknologi Perbibitan Ternak Sapi Potong;RDHP;-;-;4518450000;4518450000;-;-;-;-;-;-;-;-
2021;Pendampingan pelaksanaan program dan kegiatan utama kementerian pertanian;RDHP;575.000.000;575.000.000;350000000;350000000;-;-;-;-;-;-;-;-
2021;Pendampingan khusus sapi indukan wajib bunting (SIWAB);RDHP;125.000.000;125.000.000;0;0;-;-;-;-;-;-;-;-
2021;Sumber Daya Genetik Terkonservasi dan Terdokumentasi;RDHP;100.000.000;100.000.000;75000000;75000000;-;-;-;-;-;-;-;-
2021;Pengembangan inovasi teknologi untuk peningkatan indeks pertanaman di Jawa Barat;RDHP;200.000.000;200.000.000;0;0;-;-;-;-;-;-;-;-
2021;Peningkatan komunikasi penyuluh di Jawa Barat;RDHP;250.000.000;250.000.000;0;0;-;-;-;-;-;-;-;-
2021;Temu tugas peneliti-penyuluh Balitbangtan dan penyuluh daerah di provinsi Jawa Barat;RDHP;250.000.000;250.000.000;0;0;-;-;-;-;-;-;-;-
2021;Produksi benih sumber padi 10 Ton FS;RDHP;200.000.000;200.000.000;0;0;-;-;-;-;-;-;-;-
2021;Produksi benih sumber padi biofortifikasi 20 Ton SS;RDHP;317.793.000;317.793.000;0;0;-;-;-;-;-;-;-;-
2021;Produksi benih sebar padi 15 Ton ES;RDHP;187.500.000;187.500.000;0;0;-;-;-;-;-;-;-;-
2021;Produksi benih sebar padi nutri zinc 60 Ton ES;RDHP;700.000.000;700.000.000;0;0;-;-;-;-;-;-;-;-
2021;Produksi benih sumber kedelai 14.5 ton SS;RDHP;721.707.000;721.707.000;265000000;265000000;-;-;-;-;-;-;-;-
2021;Kerjasama;RDHP;100.000.000;100.000.000;0;0;-;-;-;-;-;-;-;-
2021;Produksi benih cabai merah 40 KG;RDHP;200.000.000;200.000.000;0;0;-;-;-;-;-;-;-;-
2021;Produksi benih sebar komoditas manggis 3500 batang;RDHP;76.500.000;76.500.000;35000000;35000000;-;-;-;-;-;-;-;-
2021;Produksi benih sebar komoditas mangga 3500 batang ;RDHP;157.500.000;157.500.000;0;0;-;-;-;-;-;-;-;-
2021;Produksi benih sebar komoditas kopi robusta 20000 pohon;RDHP;132.000.000;132.000.000;0;0;-;-;-;-;-;-;-;-
2021;Hilirisasi Teknologi dan Inovasi Balitbangtan Di Jawa Barat;RDHP;0;0;0;1500000000;-;-;-;-;-;-;-;-
2021;Penyusunan Rencana Kegiatan dan Program;RKTM;109950000;109950000;65000000;65000000;-;-;-;-;-;-;-;-
2021;Evaluasi dan Pelaporan;RKTM;69860000;69860000;45000000;45000000;-;-;-;-;-;-;-;-
2021;Koordinasi Manajemen Pengkajian;RKTM;53500000;53500000;55000000;55000000;-;-;-;-;-;-;-;-
0;Layanan Sarana dan Prasarana Internal;-;-;-;-;-;-;-;-;-;-;-;-;-
0;Belanja Pegawai dan Perkantoran (Pembayaran Gaji dan Tunjangan);-;-;-;-;-;-;-;-;-;-;-;-;-
0;Layanan Manajemen Kepegawaian, Rumah Tangga dan Perlengkapan;-;72109000;72109000;50000000;50000000;-;-;-;-;-;-;-;-
0;Dukungan Operasional Penyusunan Laporan Keuangan SAI Pada Sekretariat UAPPA/B-W TA.2020;-;-;-;-;-;-;-;-;-;-;-;-;-
0;Kerjasama;-;-;-;-;-;-;-;-;-;-;-;-;-
0;Layanan Keuangan;-;-;-;-;-;-;-;-;-;-;-;-;-
0;Pengelolaan Instalasi Pengkajian/Laboratorium Kebun Percobaan Cipaku (koleksi Tanaman Plasma Nutfah, Varietas Unggul, Pohon Induk);-;58408000;58408000;105000000;105000000;-;-;-;-;-;-;-;-
0;Kegiatan Yang Dibiayai PNBP;-;-;-;-;-;-;-;-;-;-;-;-;-
0;"Layanan Perkantoran
[Base Line]";-;-;-;-;-;-;-;-;-;-;-;-;-
0;Layanan hubungan masyarakat dan informasi pengkajian dan pengembangan teknologi pertanian;-;54203000;54203000;24982000;24982000;-;-;-;-;-;-;-;-
0;Renovasi Tempat Parkir Kendaraan Roda 4;-;200000000;200000000;197531000;197531000;-;-;-;-;-;-;-;-
0;Pembangunan Database Mendukung Kajian Strategis Kementan;-;-;-;50000000;50000000;-;-;-;-;-;-;-;
